"","case_id","Helland","Helland_prob.C1","Helland_prob.C2","Helland_prob.C4","Helland_prob.C5","Bentink.subtype.score","Bentink.subtype","Bentink.Angiogenic.proba","Bentink.nonAngiogenic.proba","Verhaak","Verhaak_gsva.DIF","Verhaak_gsva.IMR","Verhaak_gsva.MES","Verhaak_gsva.PRO","Konecny","Konecny_prob.C1_immL","Konecny_prob.C2_diffL","Konecny_prob.C3_profL","Konecny_prob.C4_mescL","ConsensusOV","ConsensusOV_probs.IMR_consensus","ConsensusOV_probs.DIF_consensus","ConsensusOV_probs.PRO_consensus","ConsensusOV_probs.MES_consensus"
"1","8fd3c3ec-c5c5-4ded-bcbb-387ddc1ba5f7","C4",-0.45555286995354,-0.250441888940072,0.427442249458154,0.124526488986125,0.62591971055587,"nonAngiogenic",5.95460487623675e-05,0.999940453951238,"IMR",0.534446684518738,0.60125572019593,0.469059243536457,0.485434286672876,"C2_diffL",-0.274542025702306,0.245431468826278,0.20014803733773,-0.179904505909633,"DIF_consensus",0.19,0.462,0.202,0.146
"2","c42ab178-9ded-405c-8eab-69583c4b1ad0","C5",-0.745772004117465,-1.3962421961392,0.38201003609237,1.94878782379628,0.624137091508436,"nonAngiogenic",6.07499816925598e-05,0.999939250018307,"PRO",0.0939291865014257,0.189741361010308,0.500694878635624,0.837731848386149,"C3_profL",-0.516809094844713,0.38215148453588,0.411101317732456,-0.298009242511401,"PRO_consensus",0.016,0.026,0.926,0.032
"3","04eeb9f5-2fd6-4df3-ade8-cdb8d77f4273","C2",-0.480627948566495,1.46883219794493,0.453483614023767,-0.64335443459125,0.65741378995013,"nonAngiogenic",4.18086290790103e-05,0.999958191370921,"IMR",0.803636651718492,0.878650305143187,0.468982251743737,0.190006206926947,"C1_immL",0.514995137080944,-0.17997924215404,-0.568254182406908,-0.0199326307799055,"IMR_consensus",0.948,0.046,0.002,0.004
"4","a14ac53b-7e97-46f3-9dce-41a2a9010f17","C2",-0.42016228583193,0.285153574490904,0.274276029503859,0.212686374864688,0.626889626823296,"nonAngiogenic",5.89010457865897e-05,0.999941098954213,"PRO",0.415375007808082,0.635896500559611,0.505363152653499,0.733617488077554,"C2_diffL",-0.027826868220824,0.0157783202601603,-0.0922742597391815,-0.154520439086008,"PRO_consensus",0.31,0.216,0.362,0.112
"5","d6326578-95eb-4f9e-967c-47fb32c04166","C2",-0.557321905921346,1.27110317907607,0.491145378431291,-1.40845936419494,0.656642098861171,"nonAngiogenic",4.21724915573849e-05,0.999957827508443,"IMR",0.58029231662874,0.821292260186281,0.39031602671073,0.317386910448022,"C1_immL",0.576021806040694,-0.217409636986773,-0.563033735018355,0.0565215006256561,"IMR_consensus",0.962,0.026,0.002,0.01
"6","a761adf7-b265-4d1d-90be-82dbfd776e45","C1",0.461892200266577,0.193420427045092,-0.315373469107079,-0.64226142981942,-0.0103036393902769,"nonAngiogenic",0.0701630571048784,0.929836942895122,"DIF",0.760308644945288,0.618985807585018,0.593605954969528,0.247249365827353,"C3_profL",-0.320981345961109,0.0581421320150672,0.370334859420127,0.0375237215563713,"DIF_consensus",0.194,0.546,0.088,0.172
"7","86e119a6-1c89-4a1d-9823-2fb95e180ea8","C5",-0.52485508374037,-0.903420342322958,0.318180094775224,1.3171062647503,0.549217441985878,"nonAngiogenic",0.000140893174107757,0.999859106825892,"MES",0.287233217285527,0.361116454748762,0.411053371778843,0.395223538555443,"C2_diffL",-0.334463418394881,0.351479584003932,0.225410975964133,-0.342546835247861,"PRO_consensus",0.07,0.156,0.658,0.116
"8","d6c55f59-f1cd-48bf-9628-94fcfb867bff","C2",-0.210126514282975,0.579966537844462,0.135762737409144,-0.675190160344523,0.421712527613227,"nonAngiogenic",0.000589561076977146,0.999410438923023,"IMR",0.70227078304246,0.821030589873161,0.539392220495153,0.255646469081285,"C1_immL",0.496513820771781,-0.268891570907556,-0.506025275318314,0.187109706267828,"IMR_consensus",0.908,0.074,0.004,0.014
"9","b6bc859c-c245-47ba-9c47-92c1c33d42c8","C4",-0.579511658878573,-0.416232571971568,0.727549592672535,-1.13118428348721,1.8195566053324,"nonAngiogenic",8.98635729281945e-11,0.999999999910136,"IMR",0.548691361860423,0.574441434186606,0.364841069050881,0.378027236699177,"C2_diffL",-0.107924260035701,0.265562546743516,0.0475887779247197,-0.268904078921618,"DIF_consensus",0.362,0.536,0.03,0.072
"10","98990aa6-30f1-4a05-aecb-a13b907c2f57","C5",-0.307475239634209,-0.605234368778525,0.242726917451317,0.706229633551317,0.488597001568378,"nonAngiogenic",0.000278273921299042,0.999721726078701,"PRO",0.535019572827982,0.574382177589875,0.510687681379493,0.643995897579114,"C2_diffL",-0.3600292516442,0.277708874064398,0.194926403871358,-0.24183800549154,"PRO_consensus",0.164,0.256,0.472,0.108
"11","7d8d9d6c-b701-4eda-8e36-c36ca7c90903","C2",-0.435036687520717,4.11094673174459,0.717197258199615,-4.41804084703723,0.911946961549347,"nonAngiogenic",2.39850219500354e-06,0.999997601497805,"IMR",0.80253773152377,0.909495415584967,0.37548598533033,0,"C1_immL",0.492716963284961,-0.151379419724728,-0.627205363443896,0.00664077557628556,"IMR_consensus",0.706,0.276,0,0.018
"12","84e6a0b4-7a1f-4a9a-80b7-b59c6d2132c2","C5",-0.700488504085793,-0.891885809569993,0.716361390637367,0.831520116561266,0.644143674732994,"nonAngiogenic",4.85266778861413e-05,0.999951473322114,"DIF",0.68708594501746,0.321813576546023,0.333745334222554,0.478363953174023,"C2_diffL",-0.649490431317199,0.500764390145799,0.42788632037148,-0.425799416449713,"DIF_consensus",0.024,0.684,0.262,0.03
"13","07325efb-fcf8-49b0-8df5-7f403304d90f","C5",-0.462652841725842,-1.10343078495408,0.246310617223581,0.738337538039291,0.472412193047635,"nonAngiogenic",0.000333718863508907,0.999666281136491,"PRO",0.301058346086128,0.433126411005813,0.554109548764706,0.754469415802583,"C3_profL",-0.592533195352947,0.404787336602017,0.42387782212391,-0.301674667749951,"PRO_consensus",0.026,0.026,0.92,0.028
"14","2d7f98e2-8e4c-48aa-9c87-e9953e952689","C1",0.172987117786331,-0.460055165075196,-0.129707822426465,-0.134525421733081,0.251726575200149,"nonAngiogenic",0.00396343226511097,0.996036567734889,"DIF",0.667694706606441,0.639793099900509,0.614541800122583,0.511683520113492,"C2_diffL",-0.155229120582601,0.135195016041333,0.0794950125427729,-0.0412836623710882,"DIF_consensus",0.216,0.382,0.16,0.242
"15","8b8765b7-07af-45c1-8aaa-d9facff1b04b","C4",-0.75687624025094,0.141554896798516,0.478285940924664,-0.244141959698113,0.671102840373298,"nonAngiogenic",3.58515421248309e-05,0.999964148457875,"IMR",0.415384128896911,0.648854372599006,0.346448144259379,0.46428746039571,"C1_immL",0.098692645724486,0.0716649027464303,-0.288744714540721,-0.23976763252937,"IMR_consensus",0.392,0.32,0.198,0.09
"16","a0361246-7cde-47eb-938d-53b0e2bf236d","C5",-0.205463601814124,-1.03126204382342,0.098458325570147,1.00544834591136,0.309327525352848,"nonAngiogenic",0.00207958036251311,0.997920419637487,"DIF",0.689104839541143,0.439805788448083,0.479628135257247,0.569190041620473,"C2_diffL",-0.57088638560576,0.431937475310122,0.390762529429556,-0.2701678448373,"DIF_consensus",0.122,0.416,0.286,0.176
