"sample","assigned_subtype","max_score","score","risk","subtype.subtype.score","subtype.subtype","subtype.Angiogenic.proba","subtype.nonAngiogenic.proba"
"2e676476-647d-4f26-ab87-d4892fe59dd2.rna_seq.augmented_star_gene_counts.tsv","nonAngiogenic",0.999986808773689,0.760140749501045,0,0.760140749501045,"nonAngiogenic",1.31912263110145e-05,0.999986808773689
"42165baf-b32c-4fc4-8b04-29c5b4e76de0.rna_seq.augmented_star_gene_counts.tsv","nonAngiogenic",0.792543669570223,-0.121070189671582,0,-0.121070189671582,"nonAngiogenic",0.207456330429776,0.792543669570223
"aaf2267a-f643-46a5-809e-f86adec2b915.rna_seq.augmented_star_gene_counts.tsv","nonAngiogenic",0.999973538366077,0.698147518216585,0,0.698147518216585,"nonAngiogenic",2.64616339231634e-05,0.999973538366077
"517eb355-1a15-4344-9f99-d5f3c461d2ef.rna_seq.augmented_star_gene_counts.tsv","Angiogenic",1,-0.323068792597319,1,-0.323068792597319,"Angiogenic",0.716675529829569,0.283324470170431
"ce71f558-2289-42ed-a6fa-d335cbc4eae5.rna_seq.augmented_star_gene_counts.tsv","nonAngiogenic",0.999859109014495,0.549218825483817,0,0.549218825483817,"nonAngiogenic",0.000140890985504831,0.999859109014495
"2c3df990-5540-462f-b852-c94242e3868d.rna_seq.augmented_star_gene_counts.tsv","nonAngiogenic",0.988697382247514,0.157749710768477,0,0.157749710768477,"nonAngiogenic",0.0113026177524864,0.988697382247514
"8ab508b9-2993-4e66-b8f9-81e32e936d4a.rna_seq.augmented_star_gene_counts.tsv","nonAngiogenic",0.999713402583591,0.48597171197256,0,0.48597171197256,"nonAngiogenic",0.000286597416409051,0.999713402583591
"31f82383-f710-4d46-8db5-b59ee094d74a.rna_seq.augmented_star_gene_counts.tsv","nonAngiogenic",0.999990957536222,0.793768435354391,0,0.793768435354391,"nonAngiogenic",9.04246377831634e-06,0.999990957536222
"e77ccd7a-1dda-4c03-bf50-08b5df2b66e7.rna_seq.augmented_star_gene_counts.tsv","nonAngiogenic",0.999813355307207,0.524171906632524,0,0.524171906632524,"nonAngiogenic",0.000186644692792744,0.999813355307207
"a058327f-14ee-4870-8c31-3850f420d312.rna_seq.augmented_star_gene_counts.tsv","nonAngiogenic",0.999722944037992,0.488987725446891,0,0.488987725446891,"nonAngiogenic",0.000277055962007543,0.999722944037992
"524a6f24-3903-46f1-ae2e-eb83a522a0c0.rna_seq.augmented_star_gene_counts.tsv","nonAngiogenic",0.999994244471447,0.833999195953105,0,0.833999195953105,"nonAngiogenic",5.75552855343323e-06,0.999994244471447
"984c9d22-35ae-4d5e-a506-30ef69568d46.rna_seq.augmented_star_gene_counts.tsv","nonAngiogenic",0.999907058216872,0.586269321326921,0,0.586269321326921,"nonAngiogenic",9.29417831276453e-05,0.999907058216872
"615dafd3-130a-4a7c-9e27-a3632c2be831.rna_seq.augmented_star_gene_counts.tsv","nonAngiogenic",0.999978941398313,0.718485984550833,0,0.718485984550833,"nonAngiogenic",2.10586016869737e-05,0.999978941398313
"8b38327a-d165-473f-bc49-2d28305e9689.rna_seq.augmented_star_gene_counts.tsv","nonAngiogenic",0.999428338612172,0.424459685331755,0,0.424459685331755,"nonAngiogenic",0.000571661387827896,0.999428338612172
