"sample","assigned_subtype","max_score","C1_immL","C2_diffL","C3_profL","C4_mescL"
"2e676476-647d-4f26-ab87-d4892fe59dd2.rna_seq.augmented_star_gene_counts.tsv","C1_immL",0.126582079550239,0.126582079550239,0.0961528154635503,-0.154535561578195,-0.279381223202054
"42165baf-b32c-4fc4-8b04-29c5b4e76de0.rna_seq.augmented_star_gene_counts.tsv","C3_profL",0.537037800300078,-0.483834426501723,0.147584266943438,0.537037800300078,0.0332317507101641
"aaf2267a-f643-46a5-809e-f86adec2b915.rna_seq.augmented_star_gene_counts.tsv","C2_diffL",0.541244932574808,-0.680335052157772,0.541244932574808,0.44283379195009,-0.4953092104873
"517eb355-1a15-4344-9f99-d5f3c461d2ef.rna_seq.augmented_star_gene_counts.tsv","C3_profL",0.391886782941829,-0.286791540892998,0.0797101433160176,0.391886782941829,-0.00603624653813537
"ce71f558-2289-42ed-a6fa-d335cbc4eae5.rna_seq.augmented_star_gene_counts.tsv","C1_immL",0.112556561085973,0.112556561085973,0.0448292970731527,-0.104995908031526,-0.17146986176263
"2c3df990-5540-462f-b852-c94242e3868d.rna_seq.augmented_star_gene_counts.tsv","C4_mescL",0.329197751789495,0.0810947350005634,-0.254355296605097,0.161898806805715,0.329197751789495
"8ab508b9-2993-4e66-b8f9-81e32e936d4a.rna_seq.augmented_star_gene_counts.tsv","C3_profL",0.520371257183184,-0.6141274470268,0.420610060653801,0.520371257183184,-0.325257453016492
"31f82383-f710-4d46-8db5-b59ee094d74a.rna_seq.augmented_star_gene_counts.tsv","C2_diffL",0.317597563618069,-0.0795039081264122,0.317597563618069,-0.0859707750425505,-0.430217259804416
"e77ccd7a-1dda-4c03-bf50-08b5df2b66e7.rna_seq.augmented_star_gene_counts.tsv","C4_mescL",0.0430158548952397,-0.0205232234036875,0.0230976070211068,-0.04064028928438,0.0430158548952397
"a058327f-14ee-4870-8c31-3850f420d312.rna_seq.augmented_star_gene_counts.tsv","C3_profL",0.577966899533278,-0.686881831066936,0.429498009575949,0.577966899533278,-0.322044887115044
"524a6f24-3903-46f1-ae2e-eb83a522a0c0.rna_seq.augmented_star_gene_counts.tsv","C1_immL",0.229271807523292,0.229271807523292,0.0399233823324357,-0.450351004904432,-0.245756065305445
"984c9d22-35ae-4d5e-a506-30ef69568d46.rna_seq.augmented_star_gene_counts.tsv","C4_mescL",0.132800611423115,0.0866959874987398,-0.0770805344674612,-0.0991469135289967,0.132800611423115
"615dafd3-130a-4a7c-9e27-a3632c2be831.rna_seq.augmented_star_gene_counts.tsv","C2_diffL",0.49380174218536,-0.515407373252759,0.49380174218536,0.295585121839844,-0.388986377896254
"8b38327a-d165-473f-bc49-2d28305e9689.rna_seq.augmented_star_gene_counts.tsv","C1_immL",0.36888265539102,0.36888265539102,-0.331479938344706,-0.193515712565901,0.345573928230431
"2b584a37-d6c1-41f9-98b4-1592ac54a82b.rna_seq.augmented_star_gene_counts.tsv","C4_mescL",0.649441060828001,0.460485150305712,-0.592529088004684,-0.0506546408259846,0.649441060828001
"bfcea1b8-fb75-4e7b-972b-620d9f1fc3bb.rna_seq.augmented_star_gene_counts.tsv","C3_profL",0.508921232572069,-0.497966766099524,0.255402825786135,0.508921232572069,-0.132742938389188
"5a59c958-9d85-4f7b-88ec-4a15a81dae28.rna_seq.augmented_star_gene_counts.tsv","C3_profL",0.083412701707359,-0.010366097744673,-0.0226400033388094,0.083412701707359,-0.0500424022820137
"318db280-feca-4c65-aaad-a4942357507f.rna_seq.augmented_star_gene_counts.tsv","C2_diffL",0.238489206579857,-0.132187483320781,0.238489206579857,-0.00331605119111865,-0.351708174448326
"19fb1859-5fb2-443a-a8ea-d3dd9f5e50b9.rna_seq.augmented_star_gene_counts.tsv","C2_diffL",0.259095012179168,-0.230006286212438,0.259095012179168,0.13030139719967,-0.335472029319844
"02f79514-91bb-4a31-91bc-9c53edd6fef1.rna_seq.augmented_star_gene_counts.tsv","C1_immL",0.57961058100022,0.57961058100022,-0.252445785305518,-0.553447186919934,0.073544015347847
"04bfa099-3ca5-4db7-ac00-5d0e32744621.rna_seq.augmented_star_gene_counts.tsv","C2_diffL",0.142530018334541,-0.0259074977909301,0.142530018334541,-0.0828940891811912,-0.360285444453011
"def689ea-33c2-40fb-bad7-709d4aa13def.rna_seq.augmented_star_gene_counts.tsv","C1_immL",0.41517023181891,0.41517023181891,-0.0663380786086478,-0.511539573486417,-0.146458445763627
"c4e36c8b-6250-4784-bc08-75b7d2549b94.rna_seq.augmented_star_gene_counts.tsv","C1_immL",0.374858708479863,0.374858708479863,-0.0853778907220467,-0.471001064504842,-0.00919677327529459
"bb5d75c1-c4fb-440f-8f09-0be3dd6b7daf.rna_seq.augmented_star_gene_counts.tsv","C3_profL",0.41175573616885,-0.446412411118294,0.172689459081017,0.41175573616885,-0.0182564063028175
"987381dd-ab88-40a1-ade8-e4e3c06ee8a4.rna_seq.augmented_star_gene_counts.tsv","C2_diffL",0.203483451507465,-0.154412580134383,0.203483451507465,0.128182913955985,-0.177483128043031
"3c94176b-696a-453b-b80a-e7d9e3ee91f8.rna_seq.augmented_star_gene_counts.tsv","C2_diffL",0.214272090274762,-0.256094809130427,0.214272090274762,0.190216711243425,-0.168402812783547
"bba3e52a-fb3f-4339-9969-07f40425e711.rna_seq.augmented_star_gene_counts.tsv","C4_mescL",0.545324926018396,0.143973093824686,-0.358873445413249,0.106443886658404,0.545324926018396
"8326bd93-55f7-49be-a164-edfb435de3b5.rna_seq.augmented_star_gene_counts.tsv","C2_diffL",0.358035555502183,-0.294920251092674,0.358035555502183,0.212669757387782,-0.398377667933793
"9d007b37-ba7a-4e85-af1f-1c8aeadda990.rna_seq.augmented_star_gene_counts.tsv","C3_profL",0.324599328086916,-0.360365208186309,0.139658820242407,0.324599328086916,0.0278105596508187
"86274ce9-71ad-45a7-88c4-956a1d8bce61.rna_seq.augmented_star_gene_counts.tsv","C4_mescL",0.434999377309145,-0.172561794654347,-0.243281480231158,0.368403924731502,0.434999377309145
"59fc9086-4b11-4e79-9b53-026e9e9fba53.rna_seq.augmented_star_gene_counts.tsv","C1_immL",0.224029491824959,0.224029491824959,0.0285127198330537,-0.235283739466146,-0.212570497500341
"35f04f9f-3756-4d8d-858f-b49c4c94d4bd.rna_seq.augmented_star_gene_counts.tsv","C1_immL",0.362551742644835,0.362551742644835,-0.122546236467315,-0.341996865789364,0.0136514591722363
"e11fea69-ccfa-4175-9184-bca06a4adbf8.rna_seq.augmented_star_gene_counts.tsv","C3_profL",0.606411566037848,-0.603401522923919,0.336722847470605,0.606411566037848,-0.202444951163246
"d41c8245-bc6e-42e5-ad70-58a3ebd5546b.rna_seq.augmented_star_gene_counts.tsv","C2_diffL",0.429393560590309,-0.454632078660681,0.429393560590309,0.263456201111355,-0.423750467018141
"ca7a912e-f2d1-455f-8b5f-3104cc02ac9e.rna_seq.augmented_star_gene_counts.tsv","C3_profL",0.489484604709915,-0.560399382053457,0.359535351014939,0.489484604709915,-0.265721683874679
"32d18d49-fe09-4929-a5f6-34150f155c3e.rna_seq.augmented_star_gene_counts.tsv","C2_diffL",0.351644004053719,-0.346396176678152,0.351644004053719,0.231988073987534,-0.353735848609027
"920bd9a2-a731-4cb2-874f-14cf09d0d01f.rna_seq.augmented_star_gene_counts.tsv","C1_immL",0.543766790414119,0.543766790414119,-0.424890838207929,-0.327384090545181,0.219210680037717
"43c987b0-278d-49c9-a332-8cfcc9bdb05a.rna_seq.augmented_star_gene_counts.tsv","C2_diffL",0.545297834911152,-0.654241488409055,0.545297834911152,0.43308504770998,-0.48212528836517
"ebf7da61-9344-4a92-8b51-05ec9a19a222.rna_seq.augmented_star_gene_counts.tsv","C2_diffL",0.467902026110172,-0.481454857878225,0.467902026110172,0.298570627968901,-0.43419425285993
"207cda7f-138a-4ae2-a6fd-90a003a94073.rna_seq.augmented_star_gene_counts.tsv","C3_profL",0.456894892748913,-0.536942691685002,0.347373159902058,0.456894892748913,-0.236254395900915
"872f7c22-17e4-4940-809b-a0970fde369b.rna_seq.augmented_star_gene_counts.tsv","C1_immL",0.349665451925301,0.349665451925301,-0.100773404337887,-0.421007513802981,-0.0149360555796066
"95c5928f-acf9-4833-b63c-ad53bfd24ac2.rna_seq.augmented_star_gene_counts.tsv","C3_profL",0.328508640576908,-0.377177564745023,0.280941232879059,0.328508640576908,-0.29679388339669
"fa7a010e-704d-4b55-b1ee-a6a369ef74b4.rna_seq.augmented_star_gene_counts.tsv","C3_profL",0.390488990232649,-0.271867939130486,-0.0610860515088432,0.390488990232649,0.261073741423175
