"sample","assigned_subtype","max_score","DIF","IMR","MES","PRO"
"aaf2267a-f643-46a5-809e-f86adec2b915.rna_seq.augmented_star_gene_counts.tsv","PRO",0.820763810953459,0.291883958266565,0.0818651893091923,0.348628343816715,0.820763810953459
"517eb355-1a15-4344-9f99-d5f3c461d2ef.rna_seq.augmented_star_gene_counts.tsv","PRO",0.686342811900706,0.608365434391001,0.559467467170276,0.65721774600558,0.686342811900706
"ce71f558-2289-42ed-a6fa-d335cbc4eae5.rna_seq.augmented_star_gene_counts.tsv","PRO",0.669056351297033,0.457428609873056,0.625833554840409,0.548967439121235,0.669056351297033
"2c3df990-5540-462f-b852-c94242e3868d.rna_seq.augmented_star_gene_counts.tsv","IMR",0.66537992709864,0.513307671422706,0.66537992709864,0.621429427243822,0.385267356971107
"8ab508b9-2993-4e66-b8f9-81e32e936d4a.rna_seq.augmented_star_gene_counts.tsv","PRO",0.736121249226465,0.425905273612623,0.269510299318873,0.498121668820853,0.736121249226465
"31f82383-f710-4d46-8db5-b59ee094d74a.rna_seq.augmented_star_gene_counts.tsv","IMR",0.656407206940035,0.582868923463176,0.656407206940035,0.275580220117805,0.533290051326
"e77ccd7a-1dda-4c03-bf50-08b5df2b66e7.rna_seq.augmented_star_gene_counts.tsv","DIF",0.748395191267941,0.748395191267941,0.672563862125437,0.560851568714659,0.361688396425673
"a058327f-14ee-4870-8c31-3850f420d312.rna_seq.augmented_star_gene_counts.tsv","PRO",0.869622973533415,0.338640420531525,0.133710620379182,0.599279076254966,0.869622973533415
"524a6f24-3903-46f1-ae2e-eb83a522a0c0.rna_seq.augmented_star_gene_counts.tsv","IMR",0.75234320791141,0.744806812790108,0.75234320791141,0.375090129394043,0.415740029935236
"984c9d22-35ae-4d5e-a506-30ef69568d46.rna_seq.augmented_star_gene_counts.tsv","DIF",0.859232995858191,0.859232995858191,0.626555437641348,0.50629660800422,0.103933024838412
"615dafd3-130a-4a7c-9e27-a3632c2be831.rna_seq.augmented_star_gene_counts.tsv","DIF",0.750688710853347,0.750688710853347,0.378863190318821,0.298868078673265,0.396859881318343
"8b38327a-d165-473f-bc49-2d28305e9689.rna_seq.augmented_star_gene_counts.tsv","IMR",0.747159998046781,0.317553473128005,0.747159998046781,0.60930516769675,0.573986784478548
"2b584a37-d6c1-41f9-98b4-1592ac54a82b.rna_seq.augmented_star_gene_counts.tsv","MES",0.779339403522042,0.641626672464636,0.685418568130986,0.779339403522042,0.503857238432281
"bfcea1b8-fb75-4e7b-972b-620d9f1fc3bb.rna_seq.augmented_star_gene_counts.tsv","PRO",0.714907085412059,0.517709835261882,0.425261626448797,0.56527069086847,0.714907085412059
"5a59c958-9d85-4f7b-88ec-4a15a81dae28.rna_seq.augmented_star_gene_counts.tsv","PRO",0.909499482941034,0.0104550338325712,0.518490152593262,0.532415669056111,0.909499482941034
"318db280-feca-4c65-aaad-a4942357507f.rna_seq.augmented_star_gene_counts.tsv","PRO",0.711502404983372,0.561164064669126,0.592547015258673,0.491050949771443,0.711502404983372
"19fb1859-5fb2-443a-a8ea-d3dd9f5e50b9.rna_seq.augmented_star_gene_counts.tsv","DIF",0.756359092423673,0.756359092423673,0.46395165708876,0.280714900055906,0.156555789101553
"02f79514-91bb-4a31-91bc-9c53edd6fef1.rna_seq.augmented_star_gene_counts.tsv","DIF",0.882752559377952,0.882752559377952,0.838004028828462,0.559314575822541,0.121470496903876
"04bfa099-3ca5-4db7-ac00-5d0e32744621.rna_seq.augmented_star_gene_counts.tsv","PRO",0.786306013984354,0.296015775501171,0.616458832990234,0.467174964612768,0.786306013984354
"def689ea-33c2-40fb-bad7-709d4aa13def.rna_seq.augmented_star_gene_counts.tsv","IMR",0.76248118318467,0.487595171158574,0.76248118318467,0.334896602270269,0.546764347780527
"c4e36c8b-6250-4784-bc08-75b7d2549b94.rna_seq.augmented_star_gene_counts.tsv","IMR",0.773557733981577,0.365453876694226,0.773557733981577,0.465726071352746,0.538933587998136
"bb5d75c1-c4fb-440f-8f09-0be3dd6b7daf.rna_seq.augmented_star_gene_counts.tsv","MES",0.709915598873489,0.615954364094837,0.465631184411405,0.709915598873489,0.662712161145355
"987381dd-ab88-40a1-ade8-e4e3c06ee8a4.rna_seq.augmented_star_gene_counts.tsv","DIF",0.627885395292901,0.627885395292901,0.567896705962532,0.450928260487847,0.192435398418621
"3c94176b-696a-453b-b80a-e7d9e3ee91f8.rna_seq.augmented_star_gene_counts.tsv","PRO",0.901680392873421,0.168599226131431,0.462046238874343,0.55840095997923,0.901680392873421
"bba3e52a-fb3f-4339-9969-07f40425e711.rna_seq.augmented_star_gene_counts.tsv","MES",0.753918970108806,0.522014506269992,0.633644281637499,0.753918970108806,0.472154685764046
"8326bd93-55f7-49be-a164-edfb435de3b5.rna_seq.augmented_star_gene_counts.tsv","IMR",0.539655421641793,0.418943035432586,0.539655421641793,0.27815770904083,0.539590429597874
"9d007b37-ba7a-4e85-af1f-1c8aeadda990.rna_seq.augmented_star_gene_counts.tsv","MES",0.622079216289047,0.485625871347361,0.507072922145449,0.622079216289047,0.461101540686869
"86274ce9-71ad-45a7-88c4-956a1d8bce61.rna_seq.augmented_star_gene_counts.tsv","MES",0.781242637607788,0.515629572627724,0.520205014197831,0.781242637607788,0.647550743265629
"59fc9086-4b11-4e79-9b53-026e9e9fba53.rna_seq.augmented_star_gene_counts.tsv","IMR",0.643466017001896,0.513742108511282,0.643466017001896,0.409686420686579,0.31374558849655
"35f04f9f-3756-4d8d-858f-b49c4c94d4bd.rna_seq.augmented_star_gene_counts.tsv","IMR",0.688764344552218,0.661805372127873,0.688764344552218,0.455808893660513,0.424149445103995
"e11fea69-ccfa-4175-9184-bca06a4adbf8.rna_seq.augmented_star_gene_counts.tsv","PRO",0.761860629044275,0.314054674270242,0.265816417607486,0.635884792617867,0.761860629044275
"d41c8245-bc6e-42e5-ad70-58a3ebd5546b.rna_seq.augmented_star_gene_counts.tsv","PRO",0.64386112313467,0.565226275615558,0.400452607333835,0.329639412769037,0.64386112313467
"ca7a912e-f2d1-455f-8b5f-3104cc02ac9e.rna_seq.augmented_star_gene_counts.tsv","DIF",0.886509945787593,0.886509945787593,0.386492030142089,0.544363547221054,0.469741447069825
"32d18d49-fe09-4929-a5f6-34150f155c3e.rna_seq.augmented_star_gene_counts.tsv","DIF",0.644785523034475,0.644785523034475,0.46843900345199,0.370850939740486,0.352079621310374
"920bd9a2-a731-4cb2-874f-14cf09d0d01f.rna_seq.augmented_star_gene_counts.tsv","IMR",0.742182479308061,0.549015120594172,0.742182479308061,0.581182370703226,0.581587671523729
"43c987b0-278d-49c9-a332-8cfcc9bdb05a.rna_seq.augmented_star_gene_counts.tsv","PRO",0.975307281208877,0.159379687451216,0.0246803483564691,0.332026469392787,0.975307281208877
"ebf7da61-9344-4a92-8b51-05ec9a19a222.rna_seq.augmented_star_gene_counts.tsv","DIF",0.817340246985014,0.817340246985014,0.324395982213554,0.021841042917055,0.0529565391500003
"207cda7f-138a-4ae2-a6fd-90a003a94073.rna_seq.augmented_star_gene_counts.tsv","PRO",0.549228700851534,0.479494423867858,0.341123814724638,0.543761019203061,0.549228700851534
"872f7c22-17e4-4940-809b-a0970fde369b.rna_seq.augmented_star_gene_counts.tsv","IMR",0.702848208250882,0.578819123989867,0.702848208250882,0.550368579489169,0.494384006031287
"95c5928f-acf9-4833-b63c-ad53bfd24ac2.rna_seq.augmented_star_gene_counts.tsv","DIF",0.669291142555079,0.669291142555079,0.57400095381484,0.429987865136329,0.452181380137548
"fa7a010e-704d-4b55-b1ee-a6a369ef74b4.rna_seq.augmented_star_gene_counts.tsv","MES",0.75149406005172,0.512516806844569,0.49147946122294,0.75149406005172,0.44501959051033
"921df567-b883-4f95-ac75-7c63521b5a95.rna_seq.augmented_star_gene_counts.tsv","PRO",0.617186177114328,0.464045012739511,0.538232798942991,0.460234584458604,0.617186177114328
"2c5a90ae-67c6-46de-b865-1dde61e976bd.rna_seq.augmented_star_gene_counts.tsv","PRO",0.63576053310134,0.231619082628661,0.408902457444138,0.388716077860366,0.63576053310134
"511b6838-b0e6-41c3-8c47-6c0dcbf35393.rna_seq.augmented_star_gene_counts.tsv","IMR",0.796490035678641,0.615679693666828,0.796490035678641,0.313857841474326,0.211034154878671
"ae54a97a-d99d-4d76-b718-8cc61714b767.rna_seq.augmented_star_gene_counts.tsv","DIF",0.804814576190954,0.804814576190954,0.475429252245396,0.519483500214513,0.167015308597389
"bba445df-c6f7-4257-9093-d4ea69db84a3.rna_seq.augmented_star_gene_counts.tsv","IMR",0.665074440228258,0.528952632593933,0.665074440228258,0.408917145542462,0.428638881720354
"d563b5ea-0724-4d07-9b31-9713d6edd332.rna_seq.augmented_star_gene_counts.tsv","DIF",0.854169920759177,0.854169920759177,0.129969092483758,0,0.171237434140902
"6ac60ab5-8d16-4e62-9122-0b4d796b9bc0.rna_seq.augmented_star_gene_counts.tsv","MES",0.711863034444486,0.447543336575249,0.552343272313793,0.711863034444486,0.629848137933956
"fa8ad93c-f08b-4227-9be1-419b5353b160.rna_seq.augmented_star_gene_counts.tsv","IMR",0.799927728323178,0.438046137861831,0.799927728323178,0.318667058723532,0.667459777135739
"980e31f1-5128-485e-befe-f68e1df82adb.rna_seq.augmented_star_gene_counts.tsv","MES",0.763549892261382,0.564361626373677,0.749201002247702,0.763549892261382,0.468767920690361
"e4d2a83e-41fd-44b4-9d2d-80cb3617cfdd.rna_seq.augmented_star_gene_counts.tsv","MES",0.842786490975713,0.633917989237675,0.761983499060191,0.842786490975713,0.55664148429909
"34e59c84-b0d2-4373-9a9c-b265b828631e.rna_seq.augmented_star_gene_counts.tsv","IMR",0.838582068164024,0.443834530964712,0.838582068164024,0.187611083687603,0.309183535757287
"07742557-d413-4ab1-a624-6a003ba346be.rna_seq.augmented_star_gene_counts.tsv","DIF",0.729227711331954,0.729227711331954,0.685090521306205,0.548529874539913,0.245696649942454
"ecd6ce37-bdda-445f-b855-bc00794f03b1.rna_seq.augmented_star_gene_counts.tsv","IMR",0.701658770154841,0.381874692884883,0.701658770154841,0.519520583630224,0.425522193267855
"41f62365-a65b-4a80-aaab-323f676f67d9.rna_seq.augmented_star_gene_counts.tsv","DIF",0.817693773029042,0.817693773029042,0.677014485789885,0.524801307389344,0.255788391363288
"2e844d1a-874f-4972-820e-1d4f89575463.rna_seq.augmented_star_gene_counts.tsv","IMR",0.812646473768078,0.619935387327348,0.812646473768078,0.364540924343099,0.402044220070712
"87d7f834-2064-4e3b-9c41-8fbff133f285.rna_seq.augmented_star_gene_counts.tsv","IMR",0.695367595241208,0.60333158764412,0.695367595241208,0.527069977694794,0.593572323670749
"d1cc1450-ae0d-42ea-b45f-dd4f8bcbd399.rna_seq.augmented_star_gene_counts.tsv","DIF",0.695551857433054,0.695551857433054,0.629285321774297,0.360901849056658,0.243710575097632
