"row_subtype","C1_immL","C2_diffL","C3_profL","C4_mescL"
"DIF_consensus",14,85,15,5
"IMR_consensus",95,13,0,10
"MES_consensus",3,1,21,68
"PRO_consensus",1,43,50,0
