"case_submitter_id","sample_type_code","sample_barcode","aliquot_barcode","sample","qc_flag","qc_dnu","qc_center_failed","qc_low_coverage","qc_high_mitochondrial","annotation_categories","annotation_notes","consensusOV_subtype","konecny_subtype","helland_subtype","verhaak_subtype","bentink_subtype"
"TCGA-20-0991","01","TCGA-20-0991-01A","TCGA-20-0991-01A-01R-1564-13","1e36ddde-f989-45b5-a887-d7c6ac41aaeb.rna_seq.augmented_star_gene_counts.tsv",TRUE,TRUE,TRUE,TRUE,FALSE,"Item flagged DNU; Center QC failed","QC Warning- Expression quality metrics (e.g. 3-prime bias, high duplicate rate, genomic contamination, or low alignment rate) are well below average for this file, which should be used with caution, if at all, for expression analysis. However, other analyses, e.g. mutation and structural variant calling, may still give reliable result.; RNA-seq:LOW 5/3 COVERAGE RATIO","IMR_consensus","C1_immL","C2","IMR","nonAngiogenic"
"TCGA-20-1686","01","TCGA-20-1686-01A","TCGA-20-1686-01A-01R-1566-13","d59c9b4d-960f-4fd7-9a78-6b3bd9d31e06.rna_seq.augmented_star_gene_counts.tsv",TRUE,TRUE,TRUE,TRUE,FALSE,"Center QC failed; Item flagged DNU","RNA-seq:LOW 5/3 COVERAGE RATIO; QC Warning- Expression quality metrics (e.g. 3-prime bias, high duplicate rate, genomic contamination, or low alignment rate) are well below average for this file, which should be used with caution, if at all, for expression analysis. However, other analyses, e.g. mutation and structural variant calling, may still give reliable result.","DIF_consensus","C3_profL","C4","DIF","nonAngiogenic"
"TCGA-23-1021","01","TCGA-23-1021-01B","TCGA-23-1021-01B-01R-1564-13","06bfef84-bc96-4d26-a658-3da2432dd948.rna_seq.augmented_star_gene_counts.tsv",TRUE,TRUE,TRUE,TRUE,TRUE,"Center QC failed; Item flagged DNU","RNA-seq:LOW 5/3 COVERAGE RATIO;HIGH MITOCHONDRIAL CONTENT; QC Warning- Expression quality metrics (e.g. 3-prime bias, high duplicate rate, genomic contamination, or low alignment rate) are well below average for this file, which should be used with caution, if at all, for expression analysis. However, other analyses, e.g. mutation and structural variant calling, may still give reliable result.","DIF_consensus","C2_diffL","C4","DIF","nonAngiogenic"
"TCGA-23-1022","01","TCGA-23-1022-01A","TCGA-23-1022-01A-01R-1564-13","2fb7ad5a-0ef2-4524-9fa8-4d61d1bb04e1.rna_seq.augmented_star_gene_counts.tsv",TRUE,TRUE,TRUE,TRUE,FALSE,"Item flagged DNU; Center QC failed","QC Warning- Expression quality metrics (e.g. 3-prime bias, high duplicate rate, genomic contamination, or low alignment rate) are well below average for this file, which should be used with caution, if at all, for expression analysis. However, other analyses, e.g. mutation and structural variant calling, may still give reliable result.; RNA-seq:LOW 5/3 COVERAGE RATIO","PRO_consensus","C2_diffL","C5","DIF","nonAngiogenic"
"TCGA-23-1024","01","TCGA-23-1024-01A","TCGA-23-1024-01A-02R-1564-13","41bdbd88-b4b2-4884-8a44-b34656ae4156.rna_seq.augmented_star_gene_counts.tsv",TRUE,TRUE,TRUE,TRUE,FALSE,"Item flagged DNU; Center QC failed","QC Warning- Expression quality metrics (e.g. 3-prime bias, high duplicate rate, genomic contamination, or low alignment rate) are well below average for this file, which should be used with caution, if at all, for expression analysis. However, other analyses, e.g. mutation and structural variant calling, may still give reliable result.; RNA-seq:LOW 5/3 COVERAGE RATIO","DIF_consensus","C2_diffL","C5","DIF","nonAngiogenic"
"TCGA-23-1028","01","TCGA-23-1028-01A","TCGA-23-1028-01A-01R-1564-13","eba440bf-7924-4bee-9c1b-684acc65aed5.rna_seq.augmented_star_gene_counts.tsv",TRUE,TRUE,TRUE,TRUE,FALSE,"Item flagged DNU; Center QC failed","QC Warning- Expression quality metrics (e.g. 3-prime bias, high duplicate rate, genomic contamination, or low alignment rate) are well below average for this file, which should be used with caution, if at all, for expression analysis. However, other analyses, e.g. mutation and structural variant calling, may still give reliable result.; RNA-seq:LOW 5/3 COVERAGE RATIO","DIF_consensus","C2_diffL","C4","DIF","nonAngiogenic"
"TCGA-23-1030","01","TCGA-23-1030-01A","TCGA-23-1030-01A-02R-1564-13","7de8593c-b0fc-4a23-a1e9-9a066502777b.rna_seq.augmented_star_gene_counts.tsv",TRUE,TRUE,TRUE,TRUE,FALSE,"Item flagged DNU; Center QC failed","QC Warning- Expression quality metrics (e.g. 3-prime bias, high duplicate rate, genomic contamination, or low alignment rate) are well below average for this file, which should be used with caution, if at all, for expression analysis. However, other analyses, e.g. mutation and structural variant calling, may still give reliable result.; RNA-seq:LOW 5/3 COVERAGE RATIO","DIF_consensus","C2_diffL","C4","DIF","nonAngiogenic"
"TCGA-23-1032","01","TCGA-23-1032-01A","TCGA-23-1032-01A-02R-1564-13","d9112d90-1e2f-4359-bf56-7ea55802a50f.rna_seq.augmented_star_gene_counts.tsv",TRUE,TRUE,TRUE,TRUE,FALSE,"Item flagged DNU; Center QC failed","QC Warning- Expression quality metrics (e.g. 3-prime bias, high duplicate rate, genomic contamination, or low alignment rate) are well below average for this file, which should be used with caution, if at all, for expression analysis. However, other analyses, e.g. mutation and structural variant calling, may still give reliable result.; RNA-seq:LOW 5/3 COVERAGE RATIO","DIF_consensus","C2_diffL","C4","PRO","nonAngiogenic"
"TCGA-23-1107","01","TCGA-23-1107-01A","TCGA-23-1107-01A-01R-1564-13","7a647483-f972-492c-972d-63b7eff7beff.rna_seq.augmented_star_gene_counts.tsv",TRUE,TRUE,TRUE,TRUE,FALSE,"Item flagged DNU; Center QC failed","QC Warning- Expression quality metrics (e.g. 3-prime bias, high duplicate rate, genomic contamination, or low alignment rate) are well below average for this file, which should be used with caution, if at all, for expression analysis. However, other analyses, e.g. mutation and structural variant calling, may still give reliable result.; RNA-seq:INSUFFICIENT INPUT MATERIAL,LOW SEQUENCE YIELD/DIVERSITY;LOW 5/3 COVERAGE RATIO","DIF_consensus","C2_diffL","C4","PRO","nonAngiogenic"
"TCGA-23-1110","01","TCGA-23-1110-01A","TCGA-23-1110-01A-01R-1564-13","aaf2267a-f643-46a5-809e-f86adec2b915.rna_seq.augmented_star_gene_counts.tsv",TRUE,TRUE,TRUE,FALSE,FALSE,"Center QC failed; Item flagged DNU","RNA-seq:INSUFFICIENT INPUT MATERIAL,LOW SEQUENCE YIELD/DIVERSITY; QC Warning- Expression quality metrics (e.g. 3-prime bias, high duplicate rate, genomic contamination, or low alignment rate) are well below average for this file, which should be used with caution, if at all, for expression analysis. However, other analyses, e.g. mutation and structural variant calling, may still give reliable result.","PRO_consensus","C2_diffL","C5","PRO","nonAngiogenic"
"TCGA-23-1113","01","TCGA-23-1113-01A","TCGA-23-1113-01A-01R-1564-13","a0361246-7cde-47eb-938d-53b0e2bf236d.rna_seq.augmented_star_gene_counts.tsv",TRUE,TRUE,TRUE,TRUE,FALSE,"Item flagged DNU; Center QC failed","QC Warning- Expression quality metrics (e.g. 3-prime bias, high duplicate rate, genomic contamination, or low alignment rate) are well below average for this file, which should be used with caution, if at all, for expression analysis. However, other analyses, e.g. mutation and structural variant calling, may still give reliable result.; RNA-seq:LOW 5/3 COVERAGE RATIO","DIF_consensus","C2_diffL","C5","DIF","nonAngiogenic"
"TCGA-23-1116","01","TCGA-23-1116-01A","TCGA-23-1116-01A-01R-1564-13","1d359158-291b-4629-bd6f-0d605ac6afa7.rna_seq.augmented_star_gene_counts.tsv",TRUE,TRUE,TRUE,TRUE,FALSE,"Center QC failed; Item flagged DNU; Prior malignancy","RNA-seq:LOW 5/3 COVERAGE RATIO; QC Warning- Expression quality metrics (e.g. 3-prime bias, high duplicate rate, genomic contamination, or low alignment rate) are well below average for this file, which should be used with caution, if at all, for expression analysis. However, other analyses, e.g. mutation and structural variant calling, may still give reliable result.; Prior malignancy of breast cancer","MES_consensus","C4_mescL","C1","MES","nonAngiogenic"
"TCGA-23-1118","01","TCGA-23-1118-01A","TCGA-23-1118-01A-01R-1564-13","852964b8-1f8e-4891-a1a4-a63186d841ab.rna_seq.augmented_star_gene_counts.tsv",TRUE,TRUE,TRUE,TRUE,FALSE,"Item flagged DNU; Center QC failed","QC Warning- Expression quality metrics (e.g. 3-prime bias, high duplicate rate, genomic contamination, or low alignment rate) are well below average for this file, which should be used with caution, if at all, for expression analysis. However, other analyses, e.g. mutation and structural variant calling, may still give reliable result.; RNA-seq:LOW 5/3 COVERAGE RATIO","IMR_consensus","C1_immL","C4","IMR","nonAngiogenic"
"TCGA-23-1119","01","TCGA-23-1119-01A","TCGA-23-1119-01A-02R-1565-13","ba187e93-15e0-4681-9c0f-f4d346cfe1a8.rna_seq.augmented_star_gene_counts.tsv",TRUE,TRUE,TRUE,TRUE,FALSE,"Item flagged DNU; Center QC failed","QC Warning- Expression quality metrics (e.g. 3-prime bias, high duplicate rate, genomic contamination, or low alignment rate) are well below average for this file, which should be used with caution, if at all, for expression analysis. However, other analyses, e.g. mutation and structural variant calling, may still give reliable result.; RNA-seq:LOW 5/3 COVERAGE RATIO","IMR_consensus","C1_immL","C5","IMR","nonAngiogenic"
"TCGA-24-0966","01","TCGA-24-0966-01A","TCGA-24-0966-01A-01R-1564-13","037a7fa8-e684-4548-805c-845c3df9e188.rna_seq.augmented_star_gene_counts.tsv",TRUE,TRUE,TRUE,TRUE,FALSE,"Item flagged DNU; Center QC failed","QC Warning- Expression quality metrics (e.g. 3-prime bias, high duplicate rate, genomic contamination, or low alignment rate) are well below average for this file, which should be used with caution, if at all, for expression analysis. However, other analyses, e.g. mutation and structural variant calling, may still give reliable result.; RNA-seq:LOW 5/3 COVERAGE RATIO","DIF_consensus","C2_diffL","C4","DIF","nonAngiogenic"
"TCGA-24-0968","01","TCGA-24-0968-01A","TCGA-24-0968-01A-01R-1569-13","df4191dc-dd74-4197-bc35-d24807f0ceba.rna_seq.augmented_star_gene_counts.tsv",TRUE,TRUE,TRUE,TRUE,TRUE,"Center QC failed; Item flagged DNU","RNA-seq:LOW 5/3 COVERAGE RATIO;HIGH MITOCHONDRIAL CONTENT; QC Warning- Expression quality metrics (e.g. 3-prime bias, high duplicate rate, genomic contamination, or low alignment rate) are well below average for this file, which should be used with caution, if at all, for expression analysis. However, other analyses, e.g. mutation and structural variant calling, may still give reliable result.","IMR_consensus","C1_immL","C2","IMR","nonAngiogenic"
"TCGA-24-0970","01","TCGA-24-0970-01B","TCGA-24-0970-01B-01R-1565-13","59b900d7-691a-423c-a590-cc9e1f0735dc.rna_seq.augmented_star_gene_counts.tsv",TRUE,TRUE,TRUE,FALSE,TRUE,"Center QC failed; Item flagged DNU","RNA-seq:HIGH MITOCHONDRIAL CONTENT; QC Warning- Expression quality metrics (e.g. 3-prime bias, high duplicate rate, genomic contamination, or low alignment rate) are well below average for this file, which should be used with caution, if at all, for expression analysis. However, other analyses, e.g. mutation and structural variant calling, may still give reliable result.","MES_consensus","C3_profL","C5","MES","nonAngiogenic"
