"sample","assigned_subtype","max_score","C1","C2","C4","C5"
"42165baf-b32c-4fc4-8b04-29c5b4e76de0.rna_seq.augmented_star_gene_counts.tsv","C1",0.658386393946436,0.658386393946436,-0.719671599774392,-0.722898676250514,0.0751652209625475
"aaf2267a-f643-46a5-809e-f86adec2b915.rna_seq.augmented_star_gene_counts.tsv","C5",1.71077253948773,-0.71821458976125,-1.48258121930851,0.47113470204433,1.71077253948773
"517eb355-1a15-4344-9f99-d5f3c461d2ef.rna_seq.augmented_star_gene_counts.tsv","C1",1.36103490252898,1.36103490252898,-0.175211733081462,-1.46626381549346,0.124387322390456
"ce71f558-2289-42ed-a6fa-d335cbc4eae5.rna_seq.augmented_star_gene_counts.tsv","C5",0.824412766616623,-0.432264846112281,-0.311687895852466,0.25203494985454,0.824412766616623
"2c3df990-5540-462f-b852-c94242e3868d.rna_seq.augmented_star_gene_counts.tsv","C1",0.223967700279002,0.223967700279002,-0.129501513005683,-0.182246008553845,-3.76642795628781
"8ab508b9-2993-4e66-b8f9-81e32e936d4a.rna_seq.augmented_star_gene_counts.tsv","C5",1.33351798221965,-0.378049840955972,-1.16173162016854,0.20443312154249,1.33351798221965
"31f82383-f710-4d46-8db5-b59ee094d74a.rna_seq.augmented_star_gene_counts.tsv","C4",0.751451317083639,-0.756655180448822,0.125086683950409,0.751451317083639,-1.11382058071422
"e77ccd7a-1dda-4c03-bf50-08b5df2b66e7.rna_seq.augmented_star_gene_counts.tsv","C4",0.244896322223845,-0.118692382306591,-0.0601089631479506,0.244896322223845,-0.0537752877122812
"a058327f-14ee-4870-8c31-3850f420d312.rna_seq.augmented_star_gene_counts.tsv","C5",1.6743863585206,-0.314887445688809,-1.37550689768296,-0.0396316070466998,1.6743863585206
"524a6f24-3903-46f1-ae2e-eb83a522a0c0.rna_seq.augmented_star_gene_counts.tsv","C2",1.13009824760227,-0.53488563792397,1.13009824760227,0.575972240958614,-1.45884203578325
"984c9d22-35ae-4d5e-a506-30ef69568d46.rna_seq.augmented_star_gene_counts.tsv","C2",1.38459468604709,-0.241519802685737,1.38459468604709,0.366990081517737,-0.800690811033756
"615dafd3-130a-4a7c-9e27-a3632c2be831.rna_seq.augmented_star_gene_counts.tsv","C4",0.622340630147659,-0.719788385285172,-0.783749219739168,0.622340630147659,0.494835702332959
"8b38327a-d165-473f-bc49-2d28305e9689.rna_seq.augmented_star_gene_counts.tsv","C2",0.108444559442996,0.0203983616721624,0.108444559442996,-0.0406035799036066,-0.33400325567152
"2b584a37-d6c1-41f9-98b4-1592ac54a82b.rna_seq.augmented_star_gene_counts.tsv","C1",2.16597629715144,2.16597629715144,0.559511121763487,-2.02531976430979,-0.563983665244995
"bfcea1b8-fb75-4e7b-972b-620d9f1fc3bb.rna_seq.augmented_star_gene_counts.tsv","C5",1.0519784220644,-0.107628447784295,-1.03940004042131,-0.0329836290571796,1.0519784220644
"5a59c958-9d85-4f7b-88ec-4a15a81dae28.rna_seq.augmented_star_gene_counts.tsv","C5",1.53827508014536,-0.501028984310735,-0.783882763195136,0.0454337227119519,1.53827508014536
"318db280-feca-4c65-aaad-a4942357507f.rna_seq.augmented_star_gene_counts.tsv","C5",0.665495699087544,-0.514308775795731,-0.384104987096484,0.31449971896349,0.665495699087544
"19fb1859-5fb2-443a-a8ea-d3dd9f5e50b9.rna_seq.augmented_star_gene_counts.tsv","C5",1.10089870512073,-0.809883766809474,-0.793768882668393,0.654790670751771,1.10089870512073
"02f79514-91bb-4a31-91bc-9c53edd6fef1.rna_seq.augmented_star_gene_counts.tsv","C2",2.15118926543229,-0.296324361676604,2.15118926543229,0.294406446120565,-1.55035316083642
"04bfa099-3ca5-4db7-ac00-5d0e32744621.rna_seq.augmented_star_gene_counts.tsv","C5",0.646820393711285,-0.540575295572908,-0.358331015392931,0.320361863388805,0.646820393711285
"def689ea-33c2-40fb-bad7-709d4aa13def.rna_seq.augmented_star_gene_counts.tsv","C4",0.680497922442549,-0.592472480529347,0.641139832301288,0.680497922442549,-0.147918869242381
"c4e36c8b-6250-4784-bc08-75b7d2549b94.rna_seq.augmented_star_gene_counts.tsv","C5",0.710421658293917,-0.752310174563265,-0.181622807132177,0.503367525144951,0.710421658293917
"bb5d75c1-c4fb-440f-8f09-0be3dd6b7daf.rna_seq.augmented_star_gene_counts.tsv","C1",1.17536988419679,1.17536988419679,-0.64412461283128,-1.06291944883681,0.594246329327251
"987381dd-ab88-40a1-ade8-e4e3c06ee8a4.rna_seq.augmented_star_gene_counts.tsv","C5",0.485259548045495,-0.340893622847655,-0.825653522098437,0.278398684042195,0.485259548045495
"3c94176b-696a-453b-b80a-e7d9e3ee91f8.rna_seq.augmented_star_gene_counts.tsv","C5",1.55369249454663,-0.632745951884501,-0.942511056557857,0.300242683769553,1.55369249454663
"bba3e52a-fb3f-4339-9969-07f40425e711.rna_seq.augmented_star_gene_counts.tsv","C1",0.979148365803443,0.979148365803443,-0.36573330556188,-0.87002031475173,-0.664412330905314
"8326bd93-55f7-49be-a164-edfb435de3b5.rna_seq.augmented_star_gene_counts.tsv","C4",0.775508590234518,-0.700865644986368,-0.357772059459866,0.775508590234518,-0.142601928984179
"9d007b37-ba7a-4e85-af1f-1c8aeadda990.rna_seq.augmented_star_gene_counts.tsv","C5",0.392973361466276,0.386877827862003,-0.360005857780321,-0.380515831795687,0.392973361466276
"86274ce9-71ad-45a7-88c4-956a1d8bce61.rna_seq.augmented_star_gene_counts.tsv","C1",2.1207254863613,2.1207254863613,-0.421676392020917,-1.86188516648835,0.00949176898584511
"59fc9086-4b11-4e79-9b53-026e9e9fba53.rna_seq.augmented_star_gene_counts.tsv","C4",0.570263360332865,-0.675306201054017,-0.0390340848717189,0.570263360332865,0.48529837812792
"35f04f9f-3756-4d8d-858f-b49c4c94d4bd.rna_seq.augmented_star_gene_counts.tsv","C2",0.728562808694,-0.507874608115289,0.728562808694,0.538926550417127,-0.638330294538021
"e11fea69-ccfa-4175-9184-bca06a4adbf8.rna_seq.augmented_star_gene_counts.tsv","C5",1.52894164909469,0.200513431983866,-1.31924876472226,-0.241521059039221,1.52894164909469
"d41c8245-bc6e-42e5-ad70-58a3ebd5546b.rna_seq.augmented_star_gene_counts.tsv","C5",0.852770840493816,-0.680607808678399,-1.05125115177535,0.551800161525912,0.852770840493816
"ca7a912e-f2d1-455f-8b5f-3104cc02ac9e.rna_seq.augmented_star_gene_counts.tsv","C5",0.551820282286995,-0.00210510996511393,-1.03942168574012,0.249146794811522,0.551820282286995
"32d18d49-fe09-4929-a5f6-34150f155c3e.rna_seq.augmented_star_gene_counts.tsv","C4",0.703471139428392,-0.680735068525565,-0.269815896702498,0.703471139428392,0.431433851846799
"920bd9a2-a731-4cb2-874f-14cf09d0d01f.rna_seq.augmented_star_gene_counts.tsv","C2",0.605043613943282,0.205757946208023,0.605043613943282,0.0229846577166764,-0.657199757377308
