"row_subtype","C1_immL","C2_diffL","C3_profL","C4_mescL"
"DIF_consensus",14,84,14,5
"IMR_consensus",92,13,0,10
"MES_consensus",3,1,20,67
"PRO_consensus",1,43,50,0
