iteration,original_cluster,n_original,n_inbag_original,best_bootstrap_cluster,best_jaccard
14,5,100,60,4,0.7466666666666667
15,1,29,19,3,0.9047619047619048
15,2,84,53,5,0.8035714285714286
15,3,219,135,2,0.9290780141843972
15,4,64,41,1,0.9302325581395349
15,5,100,68,4,0.9154929577464789
16,1,29,21,1,0.6956521739130435
16,2,84,59,3,0.3883495145631068
16,3,219,148,2,0.6058823529411764
16,4,64,35,5,0.918918918918919
16,5,100,52,4,0.6774193548387096
17,1,29,14,5,0.16666666666666666
17,2,84,51,4,0.4647887323943662
17,3,219,134,3,0.5833333333333334
17,4,64,41,5,0.5833333333333334
17,5,100,60,2,0.75
18,1,29,16,3,0.1320754716981132
18,2,84,50,1,0.4125
18,3,219,131,2,0.4506172839506173
18,4,64,48,4,0.9375
18,5,100,63,3,0.5285714285714286
19,1,29,14,2,0.6
19,2,84,47,5,0.7288135593220338
19,3,219,140,3,0.8843537414965986
19,4,64,47,1,0.8936170212765957
19,5,100,62,4,0.8181818181818182
20,1,29,18,3,0.15217391304347827
20,2,84,55,4,0.559322033898305
20,3,219,132,5,0.5323741007194245
20,4,64,39,1,0.7674418604651163
20,5,100,59,2,0.8307692307692308
21,1,29,19,2,0.52
21,2,84,57,1,0.5303030303030303
21,3,219,137,5,0.7884615384615384
21,4,64,42,4,0.8571428571428571
21,5,100,57,3,0.7534246575342466
22,1,29,19,5,0.11926605504587157
22,2,84,56,4,0.3020833333333333
22,3,219,145,5,0.4090909090909091
22,4,64,37,1,0.5714285714285714
22,5,100,68,2,0.7317073170731707
23,1,29,16,1,0.631578947368421
23,2,84,54,3,0.7428571428571429
23,3,219,136,5,0.7876712328767124
23,4,64,44,4,0.9318181818181818
23,5,100,65,2,0.8714285714285714
24,1,29,22,3,0.5172413793103449
24,2,84,54,5,0.4
24,3,219,141,1,0.56
24,4,64,44,4,0.8888888888888888
24,5,100,65,2,0.8823529411764706
25,1,29,15,1,0.42857142857142855
25,2,84,58,3,0.8059701492537313
25,3,219,144,4,0.773972602739726
25,4,64,37,5,0.9210526315789473
25,5,100,58,2,0.890625
26,1,29,18,3,0.3076923076923077
26,2,84,53,1,0.34615384615384615
26,3,219,140,4,0.7419354838709677
26,4,64,39,2,0.9230769230769231
26,5,100,66,5,0.9264705882352942
27,1,29,18,1,0.65
27,2,84,53,2,0.2358490566037736
27,3,219,142,4,0.5416666666666666
27,4,64,38,5,0.9487179487179487
27,5,100,54,3,0.5205479452054794
28,1,29,20,5,0.5925925925925926
28,2,84,59,3,0.7307692307692307
28,3,219,136,2,0.8489208633093526
28,4,64,40,4,0.926829268292683
28,5,100,60,1,0.9016393442622951
29,1,29,14,1,0.16666666666666666
29,2,84,54,2,0.5636363636363636
29,3,219,146,4,0.546583850931677
29,4,64,40,3,0.9
29,5,100,61,5,0.9206349206349206
30,1,29,18,3,0.8947368421052632
30,2,84,64,5,0.796875
30,3,219,151,4,0.9079754601226994
30,4,64,43,1,0.9534883720930233
30,5,100,59,2,0.8787878787878788
31,1,29,17,5,0.7727272727272727
31,2,84,43,4,0.5333333333333333
31,3,219,131,2,0.8322147651006712
31,4,64,49,1,0.98
31,5,100,67,3,0.9142857142857143
32,1,29,17,5,0.09523809523809523
32,2,84,58,5,0.359375
32,3,219,143,4,0.656441717791411
32,4,64,36,3,0.725
32,5,100,66,1,0.84
33,1,29,18,5,0.7619047619047619
33,2,84,48,4,0.2564102564102564
33,3,219,144,1,0.48484848484848486
33,4,64,46,3,0.8478260869565217
33,5,100,62,2,0.7681159420289855
34,1,29,19,2,0.5333333333333333
34,2,84,52,1,0.38461538461538464
34,3,219,151,4,0.621301775147929
34,4,64,35,3,0.9210526315789473
34,5,100,63,5,0.6805555555555556
35,1,29,20,4,0.85
35,2,84,50,5,0.7678571428571429
35,3,219,138,3,0.9047619047619048
35,4,64,39,2,0.9
35,5,100,70,1,0.8933333333333333
36,1,29,17,4,0.65
36,2,84,52,5,0.3673469387755102
36,3,219,139,3,0.5822784810126582
36,4,64,43,1,0.7674418604651163
36,5,100,54,2,0.7727272727272727
37,1,29,16,5,0.7368421052631579
37,2,84,53,3,0.2672413793103448
37,3,219,141,2,0.5
37,4,64,41,4,0.7857142857142857
37,5,100,65,1,0.8611111111111112
38,1,29,18,1,0.1111111111111111
38,2,84,54,2,0.5967741935483871
38,3,219,140,1,0.48466257668711654
38,4,64,38,5,0.825
38,5,100,60,4,0.5846153846153846
39,1,29,16,4,0.6153846153846154
39,2,84,48,5,0.7014925373134329
39,3,219,142,3,0.7724137931034483
39,4,64,43,2,0.9090909090909091
39,5,100,61,1,0.8636363636363636
40,1,29,21,3,0.6428571428571429
40,2,84,49,1,0.5365853658536586
40,3,219,132,5,0.7014925373134329
40,4,64,38,4,0.9736842105263158
40,5,100,66,2,0.8266666666666667
41,1,29,17,4,0.0967741935483871
41,2,84,53,3,0.47692307692307695
41,3,219,137,1,0.5089820359281437
41,4,64,40,5,0.825
41,5,100,65,4,0.6338028169014085
42,1,29,16,5,0.11702127659574468
42,2,84,59,3,0.5352112676056338
42,3,219,140,1,0.5167785234899329
42,4,64,40,4,0.6666666666666666
42,5,100,63,2,0.8333333333333334
43,1,29,17,3,0.4666666666666667
43,2,84,46,5,0.4805194805194805
43,3,219,137,1,0.7172413793103448
43,4,64,46,4,0.8936170212765957
43,5,100,66,2,0.9104477611940298
44,1,29,17,4,0.5652173913043478
44,2,84,52,3,0.5679012345679012
44,3,219,129,2,0.6226415094339622
44,4,64,41,5,0.8409090909090909
44,5,100,68,1,0.5555555555555556
45,1,29,20,5,0.8260869565217391
45,2,84,59,2,0.8524590163934426
45,3,219,132,4,0.9014084507042254
45,4,64,42,1,0.9767441860465116
45,5,100,69,3,0.8611111111111112
46,1,29,19,4,0.6538461538461539
46,2,84,53,5,0.569620253164557
46,3,219,135,2,0.7310344827586207
46,4,64,35,3,0.9714285714285714
46,5,100,63,1,0.782608695652174
47,1,29,20,2,0.5454545454545454
47,2,84,49,5,0.15
47,3,219,136,1,0.4941860465116279
47,4,64,39,4,0.8333333333333334
47,5,100,65,3,0.6666666666666666
48,1,29,18,3,0.5806451612903226
48,2,84,59,2,0.725
48,3,219,146,4,0.7785234899328859
48,4,64,37,5,0.9487179487179487
48,5,100,63,1,0.84375
49,1,29,21,4,0.8095238095238095
49,2,84,54,2,0.7246376811594203
49,3,219,132,3,0.823943661971831
49,4,64,36,5,0.8780487804878049
49,5,100,68,1,0.8695652173913043
50,1,29,18,4,0.6666666666666666
50,2,84,50,1,0.4864864864864865
50,3,219,140,3,0.7888198757763976
50,4,64,44,2,0.9090909090909091
50,5,100,65,5,0.7727272727272727
51,1,29,22,4,0.22727272727272727
51,2,84,55,5,0.43333333333333335
51,3,219,140,3,0.6086956521739131
51,4,64,41,4,0.43137254901960786
51,5,100,61,2,0.8450704225352113
52,1,29,19,1,0.6956521739130435
52,2,84,53,4,0.6521739130434783
52,3,219,138,3,0.7972972972972973
52,4,64,43,2,0.8888888888888888
52,5,100,66,5,0.8611111111111112
53,1,29,13,3,0.1111111111111111
53,2,84,49,1,0.4307692307692308
53,3,219,152,4,0.6529411764705882
53,4,64,39,2,0.9743589743589743
53,5,100,71,3,0.6410256410256411
54,1,29,21,3,0.6956521739130435
54,2,84,53,2,0.6153846153846154
54,3,219,133,4,0.8402777777777778
54,4,64,39,1,0.9230769230769231
54,5,100,66,5,0.7283950617283951
55,1,29,17,1,0.5
55,2,84,39,4,0.28
55,3,219,139,3,0.6470588235294118
55,4,64,36,2,0.9473684210526315
55,5,100,71,5,0.810126582278481
56,1,29,16,1,0.6363636363636364
56,2,84,51,5,0.5352112676056338
56,3,219,139,4,0.738562091503268
56,4,64,40,3,0.926829268292683
56,5,100,65,2,0.7837837837837838
57,1,29,16,3,0.6666666666666666
57,2,84,54,1,0.6351351351351351
57,3,219,141,5,0.7894736842105263
57,4,64,42,4,0.8809523809523809
57,5,100,52,2,0.7704918032786885
58,1,29,16,1,0.16666666666666666
58,2,84,58,3,0.3974358974358974
58,3,219,138,4,0.6482758620689655
58,4,64,40,2,0.6590909090909091
58,5,100,62,5,0.835820895522388
59,1,29,17,5,0.13157894736842105
59,2,84,53,2,0.49230769230769234
59,3,219,133,3,0.6530612244897959
59,4,64,46,5,0.4117647058823529
59,5,100,57,1,0.8333333333333334
60,1,29,16,1,0.13636363636363635
60,2,84,51,3,0.41379310344827586
60,3,219,150,4,0.5351351351351351
60,4,64,42,1,0.5833333333333334
60,5,100,61,2,0.7142857142857143
61,1,29,19,4,0.5806451612903226
61,2,84,52,1,0.6231884057971014
61,3,219,138,5,0.7762237762237763
61,4,64,38,3,0.8974358974358975
61,5,100,62,2,0.7916666666666666
62,1,29,16,4,0.47058823529411764
62,2,84,45,1,0.5070422535211268
62,3,219,143,5,0.7577639751552795
62,4,64,38,3,0.9473684210526315
62,5,100,65,2,0.7857142857142857
63,1,29,17,3,0.5217391304347826
63,2,84,48,5,0.463768115942029
63,3,219,141,2,0.7232704402515723
63,4,64,40,4,0.926829268292683
63,5,100,65,1,0.8472222222222222
64,1,29,22,4,0.7241379310344828
64,2,84,54,2,0.7586206896551724
64,3,219,131,5,0.8905109489051095
64,4,64,42,1,0.9318181818181818
64,5,100,65,3,0.8857142857142857
65,1,29,13,4,0.12903225806451613
65,2,84,58,3,0.36619718309859156
65,3,219,141,2,0.7419354838709677
65,4,64,45,1,0.8222222222222222
65,5,100,61,5,0.7205882352941176
66,1,29,18,3,0.14583333333333334
66,2,84,51,5,0.5492957746478874
66,3,219,136,4,0.5394736842105263
66,4,64,42,1,0.9047619047619048
66,5,100,61,3,0.4411764705882353
67,1,29,19,3,0.85
67,2,84,50,5,0.8035714285714286
67,3,219,142,4,0.9246575342465754
67,4,64,39,2,0.9047619047619048
67,5,100,64,1,0.9545454545454546
68,1,29,21,1,0.21739130434782608
68,2,84,52,3,0.4142857142857143
68,3,219,133,2,0.5398773006134969
68,4,64,40,4,0.925
68,5,100,68,1,0.32051282051282054
69,1,29,19,4,0.5428571428571428
69,2,84,60,5,0.7466666666666667
69,3,219,125,1,0.7769230769230769
69,4,64,35,2,0.8918918918918919
69,5,100,68,3,0.8823529411764706
70,1,29,19,5,0.7368421052631579
70,2,84,52,2,0.6024096385542169
70,3,219,139,4,0.722972972972973
70,4,64,41,3,0.9069767441860465
70,5,100,62,1,0.8636363636363636
71,1,29,20,1,0.48717948717948717
71,2,84,53,2,0.7878787878787878
71,3,219,140,4,0.7708333333333334
71,4,64,42,5,0.9069767441860465
71,5,100,62,3,0.9206349206349206
72,1,29,21,1,0.6451612903225806
72,2,84,55,5,0.684931506849315
72,3,219,134,2,0.8014705882352942
72,4,64,38,3,1
72,5,100,63,4,0.8955223880597015
73,1,29,18,5,0.5
73,2,84,55,1,0.3137254901960784
73,3,219,133,3,0.5192307692307693
73,4,64,38,2,0.9473684210526315
73,5,100,64,4,0.7307692307692307
74,1,29,14,3,0.13043478260869565
74,2,84,61,4,0.525
74,3,219,142,2,0.6577181208053692
74,4,64,42,1,0.6170212765957447
74,5,100,68,5,0.8194444444444444
75,1,29,23,1,0.6666666666666666
75,2,84,59,2,0.7183098591549296
75,3,219,134,3,0.8082191780821918
75,4,64,37,5,0.9459459459459459
75,5,100,64,4,0.8450704225352113
76,1,29,22,2,0.6
76,2,84,50,1,0.4117647058823529
76,3,219,144,4,0.6751592356687898
76,4,64,39,5,0.925
76,5,100,60,3,0.8309859154929577
77,1,29,16,5,0.1320754716981132
77,2,84,50,2,0.37142857142857144
77,3,219,146,3,0.5576923076923077
77,4,64,41,1,0.9024390243902439
77,5,100,59,5,0.5606060606060606
78,1,29,18,4,0.8
78,2,84,60,5,0.7837837837837838
78,3,219,146,1,0.847682119205298
78,4,64,37,3,0.9487179487179487
78,5,100,60,2,0.859375
79,1,29,20,5,0.13114754098360656
79,2,84,50,1,0.3582089552238806
79,3,219,140,3,0.675
79,4,64,40,4,0.926829268292683
79,5,100,64,5,0.5694444444444444
80,1,29,17,1,0.36363636363636365
80,2,84,55,5,0.3058823529411765
80,3,219,137,2,0.6280487804878049
80,4,64,42,3,0.9069767441860465
80,5,100,74,4,0.8589743589743589
81,1,29,15,4,0.7333333333333333
81,2,84,53,1,0.7666666666666667
81,3,219,134,2,0.8811188811188811
81,4,64,43,3,0.8837209302325582
81,5,100,59,5,0.8529411764705882
82,1,29,10,5,0.06349206349206349
82,2,84,54,2,0.5272727272727272
82,3,219,136,4,0.43790849673202614
82,4,64,41,3,0.926829268292683
82,5,100,66,5,0.7083333333333334
83,1,29,17,4,0.7647058823529411
83,2,84,54,1,0.7796610169491526
83,3,219,126,2,0.8571428571428571
83,4,64,40,3,0.8260869565217391
83,5,100,66,5,0.8918918918918919
84,1,29,15,2,0.5
84,2,84,53,5,0.7
84,3,219,137,3,0.7916666666666666
84,4,64,45,1,0.9111111111111111
84,5,100,61,4,0.8194444444444444
85,1,29,17,2,0.4666666666666667
85,2,84,49,3,0.32967032967032966
85,3,219,137,1,0.5705128205128205
85,4,64,43,4,0.8863636363636364
85,5,100,63,5,0.7361111111111112
86,1,29,18,2,0.75
86,2,84,52,3,0.3333333333333333
86,3,219,136,5,0.5844155844155844
86,4,64,42,4,0.9047619047619048
86,5,100,66,1,0.7564102564102564
87,1,29,18,1,0.14634146341463414
87,2,84,53,4,0.6206896551724138
87,3,219,137,2,0.515527950310559
87,4,64,45,1,0.45098039215686275
87,5,100,66,3,0.8181818181818182
88,1,29,13,4,0.391304347826087
88,2,84,47,3,0.1935483870967742
88,3,219,151,2,0.4539877300613497
88,4,64,43,5,0.8666666666666667
88,5,100,53,3,0.581081081081081
89,1,29,20,3,0.6
89,2,84,55,4,0.7164179104477612
89,3,219,144,2,0.8322147651006712
89,4,64,36,1,0.972972972972973
89,5,100,65,5,0.8714285714285714
90,1,29,20,4,0.16176470588235295
90,2,84,53,1,0.3870967741935484
90,3,219,141,2,0.6258503401360545
90,4,64,44,5,0.8863636363636364
90,5,100,55,3,0.5238095238095238
91,1,29,20,3,0.76
91,2,84,56,2,0.8275862068965517
91,3,219,146,5,0.9019607843137255
91,4,64,39,1,0.9285714285714286
91,5,100,58,4,0.8709677419354839
92,1,29,17,3,0.625
92,2,84,52,1,0.6133333333333333
92,3,219,144,5,0.8053691275167785
92,4,64,40,2,0.8780487804878049
92,5,100,61,4,0.8484848484848485
93,1,29,16,2,0.75
93,2,84,57,5,0.6268656716417911
93,3,219,144,4,0.8471337579617835
93,4,64,36,3,0.8947368421052632
93,5,100,58,1,0.8636363636363636
94,1,29,20,3,0.6666666666666666
94,2,84,59,5,0.7671232876712328
94,3,219,132,2,0.8041958041958042
94,4,64,43,4,0.9333333333333333
94,5,100,63,1,0.8115942028985508
95,1,29,14,2,0.1509433962264151
95,2,84,49,5,0.5806451612903226
95,3,219,144,4,0.575
95,4,64,40,3,0.8536585365853658
95,5,100,63,2,0.5492957746478874
96,1,29,17,5,0.5769230769230769
96,2,84,54,2,0.7741935483870968
96,3,219,146,3,0.8701298701298701
96,4,64,36,1,0.9444444444444444
96,5,100,57,4,0.8813559322033898
97,1,29,14,5,0.6666666666666666
97,2,84,53,4,0.5949367088607594
97,3,219,141,1,0.7793103448275862
97,4,64,38,3,0.9736842105263158
97,5,100,62,2,0.8484848484848485
98,1,29,20,3,0.12244897959183673
98,2,84,57,1,0.44871794871794873
98,3,219,140,3,0.3855421686746988
98,4,64,45,5,0.8913043478260869
98,5,100,66,2,0.5945945945945946
99,1,29,24,3,0.5714285714285714
99,2,84,51,2,0.5208333333333334
99,3,219,139,5,0.7430555555555556
99,4,64,42,4,0.8571428571428571
99,5,100,72,1,0.9027777777777778
100,1,29,19,2,0.6333333333333333
100,2,84,56,3,0.8412698412698413
100,3,219,137,5,0.8439716312056738
100,4,64,36,1,0.972972972972973
100,5,100,64,4,0.9090909090909091
