"sample_id","cluster"
"18f8340e-9579-4f3c-a29e-bc87f0943b45.mirbase21.mirnas.quantification.txt",4
"25df78ef-0889-4866-8802-34ca0f2e31ce.mirbase21.mirnas.quantification.txt",4
"b1400409-8a0d-4c0e-bc77-61ead36743a4.mirbase21.mirnas.quantification.txt",1
"c7a39416-e802-40f9-923a-d8c212bea633.mirbase21.mirnas.quantification.txt",4
"cd3c7eb0-1dcc-4199-82fd-385139002a1e.mirbase21.mirnas.quantification.txt",4
"897f330c-09c1-4a3b-afcb-bba15eaf9367.mirbase21.mirnas.quantification.txt",4
"0b5a33a3-d5ab-4d17-8215-9052767e44c8.mirbase21.mirnas.quantification.txt",4
"bfd9ac05-0670-43a0-8052-d535e969d0d2.mirbase21.mirnas.quantification.txt",1
"99e6c880-906c-4969-a733-57d0d8861d0e.mirbase21.mirnas.quantification.txt",2
"0bc6e13f-37e2-4ca6-8db3-a57bbfccaa18.mirbase21.mirnas.quantification.txt",4
"339ab544-050a-47bc-b59a-e1635a203c33.mirbase21.mirnas.quantification.txt",4
"a476e22c-6fa4-4a78-a525-9338cdda214c.mirbase21.mirnas.quantification.txt",4
"dde57550-3749-4204-b6d2-1a1c4a8f0ec8.mirbase21.mirnas.quantification.txt",1
"3606aeab-e636-441d-89b0-d4d9454ea665.mirbase21.mirnas.quantification.txt",4
"fb28f9e2-9d63-4414-baa4-1479b3d26e4f.mirbase21.mirnas.quantification.txt",3
"b81a1160-be17-47ef-b8fb-0e022340edb6.mirbase21.mirnas.quantification.txt",4
"1ac96a09-e3cd-46d0-8512-e294f1c6bece.mirbase21.mirnas.quantification.txt",4
"eb0ed599-e679-4ccb-b76b-9156a4b21f35.mirbase21.mirnas.quantification.txt",4
"e293bbbd-e6e5-47fd-8cec-0288d5490710.mirbase21.mirnas.quantification.txt",4
"60748b7b-a395-407d-a980-aa0e16f7adb9.mirbase21.mirnas.quantification.txt",1
"922c1d22-ea6d-4cfe-b2f7-98041de376ed.mirbase21.mirnas.quantification.txt",4
"33ec3a0b-ff6a-44b1-aeb8-c72e3e50336c.mirbase21.mirnas.quantification.txt",4
"c3478c98-0e20-4059-8271-4b9afb66d6b4.mirbase21.mirnas.quantification.txt",1
"c7448ff7-9f40-4a67-9bd1-3d990508124e.mirbase21.mirnas.quantification.txt",3
"fbf1cb50-a917-4e0b-9e28-1ebc48827a17.mirbase21.mirnas.quantification.txt",2
"d3c4a9cf-95c5-4df0-b9a7-c32d6d6a8816.mirbase21.mirnas.quantification.txt",1
"35ab51e3-aa59-4b00-9554-068064c5fbea.mirbase21.mirnas.quantification.txt",2
"194917a1-5909-421f-8264-71c03bbe61a5.mirbase21.mirnas.quantification.txt",4
"8c6b3fc8-d4d9-49c8-9bc3-915c4b99ff87.mirbase21.mirnas.quantification.txt",1
"559df187-6d48-49d4-825d-80d9d0cbf8c0.mirbase21.mirnas.quantification.txt",4
"c5a0784c-2ce1-4384-bac7-6aeb9edc7432.mirbase21.mirnas.quantification.txt",2
"2cb11f1f-8746-45a1-ac30-abae78f071ca.mirbase21.mirnas.quantification.txt",4
"f07893c5-c0b6-48fb-ab88-01adb7b7234a.mirbase21.mirnas.quantification.txt",2
"862a677b-94b4-47eb-8d81-340de9ca1784.mirbase21.mirnas.quantification.txt",4
"0ebefb69-8b60-46e6-9165-53cdd735ba91.mirbase21.mirnas.quantification.txt",4
"72a38b5e-82ed-40db-a6b8-3c5d9500783a.mirbase21.mirnas.quantification.txt",4
"70be7adb-395b-4a0a-b5c9-eb91bbed64c0.mirbase21.mirnas.quantification.txt",4
"8292e9cc-cbee-4786-9880-0fdff2a99b49.mirbase21.mirnas.quantification.txt",4
"36f5501e-6be3-4f70-b981-645a3044b652.mirbase21.mirnas.quantification.txt",1
"e21e9e32-bedd-4433-8646-537387392c0e.mirbase21.mirnas.quantification.txt",4
"483b3516-7fe7-4c12-91b2-172c8041f187.mirbase21.mirnas.quantification.txt",4
"e28327dd-1ac7-45df-b812-841bdc8d0216.mirbase21.mirnas.quantification.txt",1
"f1c88ee9-a82c-4feb-b5cf-5d2eb23e7d03.mirbase21.mirnas.quantification.txt",4
"201695f4-5983-43fb-abe4-b8665c6ac027.mirbase21.mirnas.quantification.txt",4
"ff1303e5-5237-4829-b18b-355fb808c315.mirbase21.mirnas.quantification.txt",1
"1e93f0a7-1ca8-4ea6-b917-e166e7508819.mirbase21.mirnas.quantification.txt",4
"f1b000fe-541d-49a5-acdc-2dbd16c2d4a3.mirbase21.mirnas.quantification.txt",4
"c8231b40-ec8e-43d6-ae45-4447e24b57d8.mirbase21.mirnas.quantification.txt",4
"262a75ee-f2c4-420e-bd54-51aa896028f5.mirbase21.mirnas.quantification.txt",1
"ea542578-b842-4114-bc06-c4b52a52c53f.mirbase21.mirnas.quantification.txt",4
"3a891c6d-b223-4873-b6b1-5bb2f9ac6788.mirbase21.mirnas.quantification.txt",1
"84913533-60d5-4f98-8cd2-4a01e836ee52.mirbase21.mirnas.quantification.txt",4
"5637de49-a56c-45e0-8671-e953d66bcb1d.mirbase21.mirnas.quantification.txt",1
"d72ae1bb-2005-4654-b2f1-a815e7a9aeb6.mirbase21.mirnas.quantification.txt",4
"8b2fd9eb-933c-4522-ae0f-2cd892c66621.mirbase21.mirnas.quantification.txt",1
"c771d5ee-c270-4c69-a740-290d0962846a.mirbase21.mirnas.quantification.txt",4
"336bdf94-2c7c-4f4e-a046-09421240e273.mirbase21.mirnas.quantification.txt",4
"bb8dc653-3446-403a-af8e-c79e700c7ab0.mirbase21.mirnas.quantification.txt",4
"39598a1c-cfa9-4660-b39b-0b17fc87443e.mirbase21.mirnas.quantification.txt",4
"d7183242-925f-40f8-bbac-86aa98ee8c0a.mirbase21.mirnas.quantification.txt",4
"11e937c8-a130-469d-8dfd-35f304318fb5.mirbase21.mirnas.quantification.txt",2
"7ce526cd-59d2-4e95-ba31-43480c795985.mirbase21.mirnas.quantification.txt",4
"955af0e2-8562-4ded-a3e5-9e88ee9def83.mirbase21.mirnas.quantification.txt",2
"8d64af27-a2c2-4cf2-96f1-6e8592f926cb.mirbase21.mirnas.quantification.txt",2
"ad304861-0a5c-4225-9a9a-445f306c40ac.mirbase21.mirnas.quantification.txt",2
"ca74d2ee-20e5-4a73-ad1b-033c7be2cd89.mirbase21.mirnas.quantification.txt",3
"ff9781e6-32b9-4e36-ae48-02fbab715683.mirbase21.mirnas.quantification.txt",4
"6a5618e4-8576-4fd4-b8df-40387045f0de.mirbase21.mirnas.quantification.txt",1
"f324ea0f-a334-45a2-9354-a1161b9376fa.mirbase21.mirnas.quantification.txt",1
"a65ab1cb-c2c6-44c2-a265-4bb9a8a6b4e5.mirbase21.mirnas.quantification.txt",2
"369c3679-4d68-42f4-9cdf-6a4ce5765762.mirbase21.mirnas.quantification.txt",4
"e2659515-39da-4e65-b7b0-af85f76fc3c9.mirbase21.mirnas.quantification.txt",1
"e45dce70-fc80-4eaa-af26-d934d73f6c1a.mirbase21.mirnas.quantification.txt",2
"b420b0bf-ed7e-4299-8ee1-b344b971231b.mirbase21.mirnas.quantification.txt",1
"07708b3c-5a20-4964-883c-f508935a5676.mirbase21.mirnas.quantification.txt",1
"5f2fa5de-453d-4650-aee6-8b1d87feddb7.mirbase21.mirnas.quantification.txt",4
"1ba68c7a-b648-4830-a5df-07b1f2de563b.mirbase21.mirnas.quantification.txt",4
"db912961-b914-487b-b71c-d66b572273f0.mirbase21.mirnas.quantification.txt",4
"b59ff5ba-775a-4fc3-8a39-1e6f3da99d1b.mirbase21.mirnas.quantification.txt",2
"56d7e454-061d-4af1-b72e-154ce9d395ea.mirbase21.mirnas.quantification.txt",4
"495bd808-d3f9-4490-9e29-8afb0211f9a1.mirbase21.mirnas.quantification.txt",4
"16fc7599-1ca5-4179-ac55-811a89c3ec32.mirbase21.mirnas.quantification.txt",1
"ea46c685-c7b0-4e28-85f1-f426f294defa.mirbase21.mirnas.quantification.txt",1
"313bf802-3721-4ec1-87fd-3bab7c541f32.mirbase21.mirnas.quantification.txt",2
"e79c63db-7a28-4079-b4c3-c3b511c92934.mirbase21.mirnas.quantification.txt",1
"9022a525-9cb2-4b84-843f-dc9cefa38015.mirbase21.mirnas.quantification.txt",2
"d3a67ee5-83cc-44a4-bb3f-8d7eb755ccf4.mirbase21.mirnas.quantification.txt",1
"abb020b2-6dad-4ad5-9c00-ef43caba334c.mirbase21.mirnas.quantification.txt",4
"0a07b199-d93d-4202-a63a-b38e39dc5ca4.mirbase21.mirnas.quantification.txt",1
"6ab6b5fa-0704-4636-8a23-4916811be004.mirbase21.mirnas.quantification.txt",4
"e04fc9ad-f44a-49e4-b019-71fe06c85a44.mirbase21.mirnas.quantification.txt",1
"3b89783c-8650-45f3-ac39-96b8cb4c911e.mirbase21.mirnas.quantification.txt",4
"361d69e3-9759-4729-97d5-4c4d8a6f2496.mirbase21.mirnas.quantification.txt",4
"70f92ff5-e211-4b29-ac29-14f7f7c4b0de.mirbase21.mirnas.quantification.txt",4
"681d1081-ed19-4553-b1ef-6a5e7e6fb236.mirbase21.mirnas.quantification.txt",2
"425fcf70-5b63-4b81-98f8-ec5212be70dd.mirbase21.mirnas.quantification.txt",1
"0bfb23d5-01dc-4c32-8ffa-d7ad1b4c3e72.mirbase21.mirnas.quantification.txt",1
"3446bcfb-1b6a-4863-a481-f19e4474d9b0.mirbase21.mirnas.quantification.txt",1
"f19b41a9-5103-42af-9bb0-dfe33cc75ee2.mirbase21.mirnas.quantification.txt",1
"5bc471e6-be47-4551-aa40-bd6c7633015f.mirbase21.mirnas.quantification.txt",2
"6c23024c-aa93-44c7-a89d-46e545e13e18.mirbase21.mirnas.quantification.txt",1
"37b09dc5-ffab-425e-98d1-c9c7f0c8d8ea.mirbase21.mirnas.quantification.txt",2
"a5fc4b34-2f6a-47a5-8962-18c8023623c6.mirbase21.mirnas.quantification.txt",1
"ab8ba07a-47e6-4d96-95ca-82a116e8dec0.mirbase21.mirnas.quantification.txt",2
"dd3f7c1a-dc74-49a5-add6-d5565e1c5b89.mirbase21.mirnas.quantification.txt",4
"f996a109-74e5-473c-a312-96dfb6153734.mirbase21.mirnas.quantification.txt",4
"f796e328-7a09-4ee3-b7e9-76db92e849bf.mirbase21.mirnas.quantification.txt",2
"d21fe1b2-b8e2-42b7-8326-3659d4bf1736.mirbase21.mirnas.quantification.txt",1
"33be9dca-c410-41a7-8692-d687d4c424b0.mirbase21.mirnas.quantification.txt",4
"789ae3f2-df58-48b1-b017-4f47f761ad57.mirbase21.mirnas.quantification.txt",1
"04f92f91-dfa4-45e5-8817-612c170610aa.mirbase21.mirnas.quantification.txt",1
"dcfbd40a-bf99-46bd-8398-fa5000bba378.mirbase21.mirnas.quantification.txt",4
"10374faa-0c3c-4b94-89f3-9dab21b222e3.mirbase21.mirnas.quantification.txt",3
"92aa4586-c552-41d1-9fbe-262d86d246df.mirbase21.mirnas.quantification.txt",1
"c2ea5a5f-f436-48d8-8382-a878bdafc579.mirbase21.mirnas.quantification.txt",4
"d5168c61-99c5-4a24-aae4-7216050d8bee.mirbase21.mirnas.quantification.txt",4
"fdccf2b5-8b46-4b15-9f97-a674fb12f84a.mirbase21.mirnas.quantification.txt",2
"5441d128-830d-4d59-bf51-d72960e424bf.mirbase21.mirnas.quantification.txt",4
"f242cfca-41ca-4570-a6bb-b95e2602bf82.mirbase21.mirnas.quantification.txt",1
"f422d7b9-4f8f-4f7d-a6fd-2d0565afb8ef.mirbase21.mirnas.quantification.txt",1
"a60c51fa-f8e8-4fb5-8f14-c678dbc8de0d.mirbase21.mirnas.quantification.txt",2
"e8639999-1068-4cdc-a745-58c547d062b3.mirbase21.mirnas.quantification.txt",2
"11615736-838b-423e-a967-a38e14598395.mirbase21.mirnas.quantification.txt",4
"c44f7a10-0274-492e-8d6e-e21e2699cc7a.mirbase21.mirnas.quantification.txt",4
"0041f79c-47fc-4d18-87fa-a26989c67b4c.mirbase21.mirnas.quantification.txt",4
"bff56eb3-0abb-43be-97a3-545d9c748a79.mirbase21.mirnas.quantification.txt",1
"3d04b083-eb9e-4d9d-85be-f1779bdce885.mirbase21.mirnas.quantification.txt",4
"e83ec329-a390-464e-b760-28de78fd1532.mirbase21.mirnas.quantification.txt",1
"a1490a33-ffdd-4f46-9d06-aec6039568b4.mirbase21.mirnas.quantification.txt",4
"a9fb9fbc-2764-40d9-8408-3fde78399371.mirbase21.mirnas.quantification.txt",1
"eee30a6c-2b86-48e4-ac22-961dc52fe45e.mirbase21.mirnas.quantification.txt",4
"cdcb27f9-188e-4070-831d-0c98627c7d54.mirbase21.mirnas.quantification.txt",1
"238a6bce-4789-4165-af73-63cb2d6cd888.mirbase21.mirnas.quantification.txt",1
"e9d2b04c-c3eb-4d71-9a33-420badc763ee.mirbase21.mirnas.quantification.txt",4
"fe0c108c-7565-4139-b0c7-f90e8a0f2a04.mirbase21.mirnas.quantification.txt",3
"cf786f9c-b120-4c44-a85e-b50b481927d0.mirbase21.mirnas.quantification.txt",2
"760328e5-3c89-458d-8546-00d1468a8987.mirbase21.mirnas.quantification.txt",1
"bdd98975-906f-4a9d-9add-d77bf82509be.mirbase21.mirnas.quantification.txt",4
"f0f36077-a302-4304-8e6e-017164e3e9a4.mirbase21.mirnas.quantification.txt",4
"0b1a587e-17cc-4553-bb7c-2ad09cf1c657.mirbase21.mirnas.quantification.txt",4
"87821081-c9cb-4fc5-b526-a519ac58c9a1.mirbase21.mirnas.quantification.txt",1
"0dda1b40-2c4c-4265-b68c-c8e15e378080.mirbase21.mirnas.quantification.txt",2
"05166d9f-df78-44e8-a37c-cf65b2dc95d7.mirbase21.mirnas.quantification.txt",4
"4f9c89b8-8395-41f1-ad03-5efb9c1a3bf8.mirbase21.mirnas.quantification.txt",4
"efee9e8f-05d9-4222-962a-11895be924a2.mirbase21.mirnas.quantification.txt",4
"8e6b2db9-07aa-4c54-9cd4-30ba0932cb81.mirbase21.mirnas.quantification.txt",1
"2a58319d-778c-46a5-84b3-67594c8121b9.mirbase21.mirnas.quantification.txt",2
"3b6a3f56-4e16-4146-bc68-2f5833bc5483.mirbase21.mirnas.quantification.txt",2
"1c37ce94-fb8b-45b4-b93e-ee66cc4d58fe.mirbase21.mirnas.quantification.txt",4
"263589cd-6469-447a-a1a1-04df3080df27.mirbase21.mirnas.quantification.txt",4
"3832b832-ddf2-4632-8be7-03946e864a96.mirbase21.mirnas.quantification.txt",2
"bc22897c-a0dc-45f7-b4ec-4b8e957bf512.mirbase21.mirnas.quantification.txt",4
"4cda8aa2-fae8-4313-a537-d2c50a4d800d.mirbase21.mirnas.quantification.txt",4
"ba4b8482-d750-496f-bb94-f6d568549f1a.mirbase21.mirnas.quantification.txt",4
"4ef3cd73-d552-4ad4-a040-2642163ef710.mirbase21.mirnas.quantification.txt",4
"9eb52286-e11c-4c30-b950-c464ce3effc7.mirbase21.mirnas.quantification.txt",1
"77a724bd-49ef-4cee-a6b7-0ea370194ed0.mirbase21.mirnas.quantification.txt",1
"1e0d261b-645d-46dc-8cb9-8ba6b57a0368.mirbase21.mirnas.quantification.txt",2
"8370472f-92b2-4e55-a091-7c7e1193972f.mirbase21.mirnas.quantification.txt",4
"78c9c71a-7ed8-4e63-8b06-aa8c5f8a1f16.mirbase21.mirnas.quantification.txt",2
"6a4e771b-aa65-4918-9ad2-18f7250b3f17.mirbase21.mirnas.quantification.txt",2
"bb5d455e-c711-4ef2-8246-eade36c730e9.mirbase21.mirnas.quantification.txt",1
"3b5bae0c-4394-4bd0-880f-cc3d038f8214.mirbase21.mirnas.quantification.txt",4
"d1a64a3b-7d3b-4636-8d2a-baf56068b1dd.mirbase21.mirnas.quantification.txt",1
"94741406-595c-456b-9a27-2d838ca91557.mirbase21.mirnas.quantification.txt",1
"7dc2c098-cb0c-48ef-8dcc-80007e7e3855.mirbase21.mirnas.quantification.txt",1
"071570c9-cca8-410c-ae31-ec0426622ebf.mirbase21.mirnas.quantification.txt",2
"1c5456eb-85f7-44f3-b3fb-578f1d1fbf12.mirbase21.mirnas.quantification.txt",4
"735a2b61-3da0-4fe1-9eac-9bcb468c750c.mirbase21.mirnas.quantification.txt",4
"2120ff7c-af0d-439f-97a2-4cc0fe3c095e.mirbase21.mirnas.quantification.txt",4
"cf14f0f0-9e50-4a58-bd91-14f5c544e1be.mirbase21.mirnas.quantification.txt",4
"94e0206d-2251-4856-aa9b-c18dc80f465a.mirbase21.mirnas.quantification.txt",2
"e76fb1d8-6e19-4842-9ad4-67dfdcdc94df.mirbase21.mirnas.quantification.txt",1
"806e63e0-463e-4370-acf8-a2787c33c683.mirbase21.mirnas.quantification.txt",2
"2ebc4202-1053-45da-a924-10e8ff9ad6a2.mirbase21.mirnas.quantification.txt",1
"c254a61e-36be-48c2-a015-1c10496ae642.mirbase21.mirnas.quantification.txt",1
"5eb1c64c-6766-44e2-9842-632b8c3c1831.mirbase21.mirnas.quantification.txt",1
"02bcc8b6-df8d-459f-b1fa-92fefc2b113a.mirbase21.mirnas.quantification.txt",4
"bff64718-2f96-4e0a-9376-ccf2f0f16ff3.mirbase21.mirnas.quantification.txt",2
"590a0ba3-9ba6-477d-9d69-1cf9c0b72d65.mirbase21.mirnas.quantification.txt",4
"16c0520b-4f7b-4391-b128-cb23d2c125a8.mirbase21.mirnas.quantification.txt",4
"b69419cc-f6e0-4d44-bd54-1342f70a7a85.mirbase21.mirnas.quantification.txt",4
"0f48ac7c-d892-467e-bf2a-1d6122881e5e.mirbase21.mirnas.quantification.txt",1
"6a7d6268-43fe-4116-bf2d-ed887897ce23.mirbase21.mirnas.quantification.txt",1
"42fc169b-a145-44c5-8beb-b3f3268e7f75.mirbase21.mirnas.quantification.txt",4
"94d6fac8-c2da-42de-9a11-bf39bcb41f6c.mirbase21.mirnas.quantification.txt",4
"c714e40e-9084-495a-ab7d-a262c878bcfd.mirbase21.mirnas.quantification.txt",2
"4796bcd9-5010-4e94-b2be-904bf925d9fd.mirbase21.mirnas.quantification.txt",4
"df348536-bdd8-4747-8d10-bd23cb16709b.mirbase21.mirnas.quantification.txt",4
"94c2c3f9-563f-4254-806f-4443c17a9859.mirbase21.mirnas.quantification.txt",1
"2fa90483-1efb-47b1-a949-f30f703d2cae.mirbase21.mirnas.quantification.txt",4
"72502bda-8a92-4683-8407-ed1bf1fe638f.mirbase21.mirnas.quantification.txt",1
"4508c46a-7ecc-4031-9936-4c4746ce5a8d.mirbase21.mirnas.quantification.txt",4
"4c832c79-59b4-4678-8cd2-5fa9ef2c4c77.mirbase21.mirnas.quantification.txt",1
"39a34789-fd59-4215-b6f2-e6a1c8d5ba92.mirbase21.mirnas.quantification.txt",4
"04c31914-f7f5-4e02-9103-16244fab1da0.mirbase21.mirnas.quantification.txt",2
"83e3608b-3891-4015-af9e-40ee65fe1acc.mirbase21.mirnas.quantification.txt",4
"d0dd6aca-e647-4165-867c-6035a1610d56.mirbase21.mirnas.quantification.txt",4
"0e5a354f-02fb-4dfc-8680-293e3cad57c3.mirbase21.mirnas.quantification.txt",1
"90b48c1e-e0af-474f-bd6f-aff3f69504fc.mirbase21.mirnas.quantification.txt",4
